,Combination,VotingType,F1Score
4384,RF+KNN+SVC_LIN+XGB+XGB_RF+LR,soft,0.8591380816873899
5782,DT+KNN+SVC_LIN+SVC_RBF+XGB+XGB_RF+LR,soft,0.8591380816873899
6862,DT+RF+KNN+SVC_LIN+SVC_RBF+XGB+XGB_RF+LR,soft,0.8591380816873899
2185,DT+SVC_RBF+XGB+XGB_RF+LR,hard,0.8591380816873899
5611,DT+ETC+KNN+LGBM+LGBM_RF+XGB+LR,hard,0.8591313305168726
2047,DT+KNN+LGBM+LGBM_RF+LR,hard,0.859104648738795
1456,SVC_LIN+LGBM+LGBM_RF+LR,soft,0.8590506688110744
3230,DT+RF+ETC+SVC_LIN+LGBM_RF+NB,soft,0.8589430894308943
1835,DT+ETC+KNN+LGBM+LR,hard,0.8589181286549706
3875,DT+KNN+SVC_LIN+LGBM_RF+XGB_RF+LR,hard,0.8588909735251198
2543,RF+SVC_LIN+LGBM+XGB+LR,hard,0.8588593974175036
2121,DT+SVC_LIN+LGBM+XGB+XGB_RF,hard,0.8588522588522588
814,DT+SVC_LIN+LGBM_RF+XGB_RF,soft,0.8588073814244318
1882,DT+ETC+SVC_LIN+LGBM_RF+XGB_RF,soft,0.8587923121055651
5665,DT+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB_RF+LR,hard,0.8587201215927504
6457,ETC+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8587201215927504
1478,SVC_LIN+LGBM_RF+XGB_RF+LR,soft,0.8587201215927504
2555,RF+SVC_LIN+LGBM_RF+XGB+LR,hard,0.8587201215927504
5729,DT+ETC+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8587201215927504
7871,DT+ETC+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR+NB,hard,0.8587201215927504
7131,DT+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8587201215927504
6471,ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8587201215927504
3462,DT+RF+SVC_LIN+LGBM+LGBM_RF+NB,soft,0.8587201215927504
5899,DT+SVC_LIN+LGBM+LGBM_RF+XGB_RF+LR+NB,hard,0.8587201215927504
2537,RF+SVC_LIN+LGBM+LGBM_RF+LR,hard,0.8587201215927504
3480,DT+RF+SVC_LIN+LGBM_RF+XGB+NB,soft,0.8587201215927504
2119,DT+SVC_LIN+LGBM+LGBM_RF+NB,hard,0.8587201215927504
5786,DT+KNN+SVC_LIN+SVC_RBF+XGB+LR+NB,soft,0.8586993970714901
3220,DT+RF+ETC+SVC_LIN+LGBM+LR,soft,0.8586966915280169
5431,DT+RF+SVC_LIN+LGBM+LGBM_RF+XGB+NB,hard,0.8586966915280169
5159,DT+RF+ETC+SVC_LIN+LGBM_RF+XGB+LR,hard,0.8586966915280169
5389,DT+RF+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF,hard,0.8586966915280169
5391,DT+RF+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR,hard,0.8586966915280169
7711,DT+RF+ETC+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8586966915280169
5443,DT+RF+SVC_LIN+LGBM+XGB+LR+NB,hard,0.8586966915280169
5149,DT+RF+ETC+SVC_LIN+LGBM+XGB+NB,hard,0.8586966915280169
5433,DT+RF+SVC_LIN+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8586966915280169
5150,DT+RF+ETC+SVC_LIN+LGBM+XGB_RF+LR,soft,0.8586966915280169
5447,DT+RF+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR,hard,0.8586966915280169
5893,DT+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8586966915280169
7877,DT+ETC+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8586966915280169
7805,DT+RF+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8586966915280169
4508,RF+SVC_LIN+LGBM+LGBM_RF+XGB_RF+LR,soft,0.8586966915280169
7771,DT+RF+KNN+SVC_LIN+LGBM+LGBM_RF+XGB+LR+NB,hard,0.8586966915280169
7739,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+LR,hard,0.8586966915280169
7743,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8586966915280169
283,RF+SVC_LIN+XGB,hard,0.8586966915280169
3722,DT+ETC+SVC_LIN+LGBM+XGB_RF+LR,soft,0.8586966915280169
7190,DT+KNN+SVC_LIN+SVC_RBF+LGBM_RF+XGB+LR+NB,soft,0.8586561453849834
3038,SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR,soft,0.8586561453849834
5720,DT+ETC+SVC_RBF+LGBM+XGB+XGB_RF+LR,soft,0.8586183901652777
1772,DT+RF+LGBM+XGB+LR,soft,0.8586183901652777
546,LGBM+XGB_RF+LR,soft,0.8586183901652777
7579,DT+RF+ETC+KNN+SVC_LIN+SVC_RBF+LGBM+XGB+LR,hard,0.8586183901652777
5864,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+LR,soft,0.8586183901652777
5251,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+XGB_RF,hard,0.8586183901652777
5265,DT+RF+KNN+SVC_LIN+SVC_RBF+XGB+XGB_RF,hard,0.8586183901652777
7749,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+XGB+XGB_RF+LR,hard,0.8586183901652777
4040,DT+SVC_RBF+LGBM+XGB+XGB_RF+LR,soft,0.8586183901652777
3466,DT+RF+SVC_LIN+LGBM+XGB+LR,soft,0.8586183901652777
476,SVC_LIN+LGBM+XGB_RF,soft,0.8586183901652777
5648,DT+ETC+SVC_LIN+SVC_RBF+LGBM+XGB+LR,soft,0.8586183901652777
3877,DT+KNN+SVC_LIN+LGBM_RF+XGB_RF+NB,hard,0.8585337176123083
4069,DT+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8585337176123083
3563,DT+RF+LGBM_RF+XGB_RF+LR+NB,hard,0.8585337176123083
486,SVC_LIN+LGBM_RF+LR,soft,0.8584486311451281
1745,DT+RF+SVC_RBF+LGBM_RF+XGB_RF,hard,0.858409829795372
5109,DT+RF+ETC+SVC_LIN+SVC_RBF+LGBM+XGB,hard,0.858409829795372
7890,DT+KNN+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR+NB,soft,0.8583954867087398
7146,DT+ETC+SVC_LIN+LGBM+LGBM_RF+XGB_RF+LR+NB,soft,0.8583954867087398
6766,DT+RF+ETC+SVC_LIN+LGBM+LGBM_RF+XGB_RF+NB,soft,0.8583954867087398
6784,DT+RF+ETC+SVC_LIN+LGBM_RF+XGB_RF+LR+NB,soft,0.8583954867087398
5667,DT+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB_RF+NB,hard,0.8583954867087398
5686,DT+ETC+SVC_LIN+LGBM+LGBM_RF+XGB_RF+NB,soft,0.8583954867087398
3240,DT+RF+ETC+SVC_LIN+XGB_RF+NB,soft,0.8583954867087398
5870,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+NB,soft,0.8583954867087398
3724,DT+ETC+SVC_LIN+LGBM+XGB_RF+NB,soft,0.8583954867087398
2128,DT+SVC_LIN+LGBM+XGB_RF+NB,soft,0.8583954867087398
5352,DT+RF+KNN+SVC_RBF+XGB+LR+NB,soft,0.8583637882301697
3682,DT+ETC+SVC_LIN+SVC_RBF+LGBM+XGB_RF,soft,0.8583484026522002
3980,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB+LR,soft,0.8583484026522002
6740,DT+RF+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB+LR,soft,0.8583484026522002
7234,DT+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR+NB,soft,0.8583484026522002
3500,DT+RF+SVC_RBF+LGBM+LGBM_RF+LR,soft,0.8583484026522002
7700,DT+RF+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,soft,0.8583484026522002
5871,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+NB,hard,0.8583484026522002
